"","Country.code","Country","Party.grouping","NDC1.type","NDCX.type","NDC1.Conditionality","NDCX.Conditionality","NDC1...change.E","NDCX...change.E","X2015.E.per.capita..tonnes.CO2e.","X2019.E.per.capita..tonnes.CO2e.","X2015.E..GDP","X2019.E..GDP","Vulnerability.2015","Vulnerability.2019","X2015.GDP.per.capita..2015.US..","X2019.GDP.per.capita","NR.rent.GDP.2015","NR.rent.GDP.2019","NAME","Mg_Carbon_Yr_3_min","Mg_Carbon_Yr_4_min","Mg_Carbon_Yr_5_min","Forested_Area_HVFE_ha_3_min","Forested_Area_HVFE_ha_4_min","Forested_Area_HVFE_ha_5_min","Restorable_Area_HVFE_ha_3_min","Restorable_Area_HVFE_ha_4_min","Restorable_Area_HVFE_ha_5_min","MgC_ha_yr_3_min","MgC_ha_yr_4_min","MgC_ha_yr_5_min","Mg_Carbon_Yr_3_max","Mg_Carbon_Yr_4_max","Mg_Carbon_Yr_5_max","Mg_Carbon_Yr_6_max","Forested_Area_HVFE_ha_3_max","Forested_Area_HVFE_ha_4_max","Forested_Area_HVFE_ha_5_max","Forested_Area_HVFE_ha_6_max","Restorable_Area_HVFE_ha_3_max","Restorable_Area_HVFE_ha_4_max","Restorable_Area_HVFE_ha_5_max","Restorable_Area_HVFE_ha_6_max","MgC_ha_yr_3_max","MgC_ha_yr_4_max","MgC_ha_yr_5_max","MgC_ha_yr_6_max","Mg_Carbon_Yr_total_min","Mg_Carbon_Yr_total_max","MgC_ha_yr_min","MgC_ha_yr_max","Restorable_Area_HVFE_ha_min","Restorable_Area_HVFE_ha_max","eu","fwc_country","GtCO2_year","count_ndc_type","NDC_Type_Simple","concat","absred_fwc"
"21","BRA","Brazil","BASC","A","A","UNC","UNC","-9.5%","-20.6%",6.613,7.152,0.75,0.83,0.375602752,0.374523195,8783.215424,8592.211207,2.35832735,3.217173033,"Brazil",4994001.3851301,25415824.7701586,24189697.8773446,18079796.7772507,91920025.0210486,28807232.8323261,5075370.66113533,26256814.6811009,7148224.3669383,0.983967816059561,0.967970604159094,3.38401491553985,17257264.2288311,86301975.0361501,12814957.4987598,35448066.2216337,18056143.6701486,83206990.3555276,11321208.906193,39365584.324442,5066967.6810808,24704173.1332231,3712124.88626633,10676409.1080447,3.40583664925806,3.49341686405557,3.45218921544666,3.3202236691102,54599524.0326333,151822262.985375,1.7786511119195,3.41791659946762,38480409.7091745,44159674.8086149,"Non-EU","FWC",0.770175719654716,8,"Absolute Reduction","Brazil","Y"
"22","BRB","Barbados","SIDS","B","B","CON","BOTH","-73.5%","-88.9%",19.204,18.888,1.129,1.1,0.380109023,0.386018624,17023.69436,17298.5068,0.129202531,0.230547662,"Barbados",0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"23","BRN","Brunei Darussalam","OPEC","B","","UNC","","21.2%","",31.488,44.649,1.021,1.47,0.392590844,0.391747562,30681.43397,30313.41386,18.89829893,20.84931772,"Brunei",27.1032499561277,1587.29773900643,3419.29628935175,31679.2115575528,85724.3457602704,29758.7785441583,18.9169086659869,1117.74898365196,745.078732124096,1.43275259370787,1.42008426061846,4.58917446160878,69.7412882477372,3576.89329119062,1500.19088160589,8004.52106521778,31505.4870757117,69226.3079667169,9837.67120569444,55872.8945916383,15.218090227338,777.613979939158,329.745141851376,1725.81570941156,4.58278845807163,4.59983151469381,4.54954657764772,4.63810882098589,5033.69727831431,13151.346526262,2.48067043864504,4.59256884284976,1881.74462444204,2848.39292142943,"Non-EU","Non-FWC",0.25971303693712,21,"Other","Other_Non-FWC","N"
"24","BTN","Bhutan","ASIA","E","E","CON","CON","-100.0%","-100.0%",-7.503,2.03,-2.771,0.63,0.519286715,0.518585756,2695.636924,3233.597889,4.028295413,2.190069828,"Bhutan",47252.5187907111,13289.3226523812,24386.446706325,1530720.4715136,421822.576736853,97219.2326152839,97018.9565582412,23577.3752931773,11013.1195518076,0.48704418669299,0.563647246020077,2.21430872439067,158943.917262806,42759.8381172508,13897.9844511234,16248.0854698144,1530068.51474562,418817.919260366,69978.8732472535,42095.7490851433,96885.8505899917,23133.1789328822,6716.12170914396,6590.46036206812,1.64052765491461,1.84842032482058,2.06934672315443,2.46539461239027,84928.2881494173,231849.825300995,1.08833338570124,2.00592232881997,131609.451403226,133325.611594086,"Non-EU","Non-FWC",0.01773140039783,6,"Other","Other_Non-FWC","N"
"25","BWA","Botswana","AFRC","A","","CON","","4.5%","",-6.193,59.872,-1.045,9.14,0.430521201,0.42604168,5869.737579,6485.568198,0.804774555,0.656053806,"Botswana",0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,"Non-EU","FWC",0.0221994547811503,5,"Other","Other_FWC","N"
"26","CAF","Central African Republic","AFRC","B","B","BOTH","BOTH","-100.0%","-56.7%",6.677,5.992,18.837,15.55,0.581094352,0.584247118,351.8797548,381.4140464,12.69262339,9.811123019,"Central African Rep.",4894.98833034377,111842.518406126,53242.4357955881,35578.37562117,1055960.35429185,257986.69443216,3455.1389937326,82964.7884733619,11893.8905851863,1.4167268926729,1.34807212148846,4.47645246223308,15863.4551913187,339726.76396662,19913.4932646168,152135.039823788,35359.1209956635,984818.702083823,109730.363060104,379020.020884592,3443.63377714934,76658.9527990585,4377.5199192595,34225.0776925187,4.60660343634176,4.43166455530805,4.5490354428782,4.44513351264191,169979.942532058,527638.752246344,2.41375049213148,4.50810923679248,98313.8180522808,118705.184187986,"Non-EU","Non-FWC",0.560631052173504,49,"BAU Reduction","BAU Reduction_Non-FWC","N"
"27","CAN","Canada","OECD","A","A","UNC","UNC","-29.3%","-39.4%",20.509,19.915,0.469,0.44,0.285746204,0.287168033,43596.13554,45120.99976,0.332933838,1.93317583,"Canada",1366561.96963622,870536.977229612,1275672.17606437,25219825.2161066,16643764.8385944,9126274.54756757,6170266.18952958,3163814.63500661,1424842.97765178,0.221475367133295,0.27515422920085,0.895307199511028,5294308.86525732,2632297.12714973,859300.783508228,1582251.47301501,25167689.19875,15832380.4945637,6443918.36554404,6208848.58925454,6161989.10895486,2925058.01576663,957349.820838175,1770202.58310383,0.859188286711414,0.899912792485188,0.897582853001316,0.893825084268451,3512771.1229302,10368158.2489303,0.463978931948391,0.887627254116592,10758923.802188,11814599.5286635,"Non-EU","FWC",0.770175719654716,8,"Absolute Reduction","Canada","Y"
"28","CHE","Swizerland","EURP","A","A","UNC","UNC","-41.6%","-41.6%",5.603,5.169,0.066,0.06,0.245832949,0.246446398,83806.4476,87123.66044,0.010691848,0.009183252,"Switzerland",208491.068640215,67626.5767681728,41167.1031150471,1424600.59515225,506291.750443534,147143.020067326,641179.791353891,188685.905164869,33283.7334950275,0.325167872493257,0.358408206002894,1.23685352549759,775779.578728594,226270.182047493,28184.0294833315,58168.9965069502,1421126.28600047,484644.80517283,85548.6532113826,180106.195301532,639979.647680398,182507.452407201,23301.6880212725,43681.5153572352,1.21219414014243,1.23978598716424,1.20952737233465,1.33166159715921,317284.748523435,1088402.78676637,0.640143201331248,1.24829227420013,863149.430013788,889470.303466107,"Non-EU","Non-FWC",0.0722686888013452,24,"Absolute Reduction","Absolute Reduction_Non-FWC","N"
"29","CHL","Chile","LACA","C","E","BOTH","UNC","118.6%","67.8%",2.817,3.001,0.205,0.22,0.326666099,0.329330334,13567.35722,13758.74701,4.044618704,2.568892661,"Chile",1898327.80350801,611134.664892164,847105.733893484,7863813.45950978,3196094.96676632,1738883.60343029,3000637.00185973,963116.672353801,441885.682143359,0.632641603210074,0.634538558447531,1.91702462452418,5412719.11030616,1688393.52956315,649415.414319091,490337.940285997,7830059.03512193,3109330.07793023,1214586.33586369,666482.998264157,2995172.87868591,933139.216648465,333924.121948918,263727.500132964,1.80714747680305,1.80936938394607,1.94479934701583,1.85925980430096,3356568.20229366,8240865.9944744,1.06140159539393,1.85514400301648,4405639.35635689,4525963.71741626,"Non-EU","FWC",0.0327509509465457,2,"Other","Other_FWC","N"
"30","CHN","China","BASC","C","C","UNC","UNC","18.3%","6.0%",8.623,8.966,1.083,0.89,0.388902495,0.386623499,8016.445595,10155.51088,1.174766591,1.266913676,"China",8391362.78102344,10887903.0071683,17310222.0510146,93680756.4674344,57776770.8712139,23835910.6620411,19642089.0523013,23565211.3352831,10822102.4183129,0.427213355905252,0.462032903174789,1.59952487806091,28440897.1344403,27156440.6695955,8563331.06589915,50269391.272453,93496271.609414,50423997.5978937,12241980.8723719,57626453.1148246,19577449.8448588,18333772.2549518,5011775.96112615,37432506.3576332,1.45273758123861,1.4812249378881,1.7086420327486,1.34293415439979,36589487.8392063,114430060.142388,0.829590379046983,1.49638467656877,54029402.8058973,80355504.41857,"Non-EU","Non-FWC",0.846695427730103,5,"Other","Other_Non-FWC","N"
